go_term	Definition	Pval	fdr	Genes2	NumberOfGenes2
integral component of membrane	The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane. [GOC:dos, GOC:go_curators]	5,16E-07	7,02E-05	"c(\""MFSD5\"", \""LRFN2\"", \""PKHD1\"", \""ATP2C2\"", \""SMPD3\"", \""SLC22A1\"", \""TMEM261\"", \""MAL2\"", \""CDH17\"", \""HGSNAT\"", \""EXTL3\"", \""ABCB10\"", \""OPN4\"", \""P4HTM\"", \""TRPC7\"", \""OR52E4\"", \""TRPV6\"", \""AC245427.1\"", \""TRBC2\"", \""MARVELD2\"", \""GABRB2\"", \""SLC6A19\"", \""TRPV2\"", \""PEMT\"", \""IFITM1\"", \""IFITM2\"", \""IFITM3\"", \""REEP5\"", \""LRRC8D\"", \""PIGS\"", \""KCNK2\"", \""IFITM5\"", \""GRIK1\"", \""MFSD12\"", \""DSG3\"", \""OR4C16\"", \""\"", \""ACAA1\"", \""ACSL5\"")"	38
membrane	A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it. [GOC:dos, GOC:mah, ISBN:0815316194]	6,49E-06	0,000441038996304	"c(\""MFSD5\"", \""LRFN2\"", \""PKHD1\"", \""ATP2C2\"", \""SMPD3\"", \""SLC22A1\"", \""TMEM261\"", \""MAL2\"", \""CDH17\"", \""HGSNAT\"", \""ABCB10\"", \""OPN4\"", \""P4HTM\"", \""TRPC7\"", \""OR52E4\"", \""TRPV6\"", \""AC245427.1\"", \""TRBC2\"", \""MARVELD2\"", \""GABRB2\"", \""SLC6A19\"", \""ANKFY1\"", \""TRPV2\"", \""PEMT\"", \""IFITM1\"", \""IFITM2\"", \""IFITM3\"", \""REEP5\"", \""LRRC8D\"", \""PIGS\"", \""KCNK2\"", \""IFITM5\"", \""GRIK1\"", \""MFSD12\"", \""DSG3\"", \""OR4C16\"", \""\"", \""MVP\"", \""ACAA1\"", \""ACSL5\"")"	39
cytoplasm	All of the contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures. [ISBN:0198547684]	1,02E-05	0,000463997750001	"c(\""KRT8\"", \""APAF1\"", \""TDP2\"", \""PYGL\"", \""TNFAIP8L2\"", \""DPYD\"", \""EXOSC9\"", \""DHX37\"", \""LIMK2\"", \""USH1C\"", \""CASP2\"", \""KIAA1147\"", \""MDFIC\"", \""MARVELD2\"", \""LRRC8D\"", \""AMPH\"", \""TARS2\"", \""PADI2\"", \""MVP\"")"	20
nucleus	A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent. [GOC:go_curators]	2,04E-05	0,000692661967564	"c(\""PPARA\"", \""KRT8\"", \""TDP2\"", \""IDH3A\"", \""GCM1\"", \""POLR1E\"", \""CDH17\"", \""TRIB3\"", \""EXOSC9\"", \""LIMK2\"", \""MORC1\"", \""CABIN1\"", \""CASP2\"", \""MDFIC\"", \""KRT4\"", \""RFX3\"", \""PADI2\"", \""MVP\"", \""\"")"	19
